FID,ap_lp,apn,number_of_,objectid,shape_area,shape_leng,situs_city,situs_hous,situs_ho_2,situs_stat,situs_stre,situs_st_2,situs_st_3,situs_unit,situs_zip_,tax_rate_a
215144,LP,46219014,1.000000000000000,280317.000000000000000,19311.195740521769039,668.978340440957027,SAN JOSE,3911,,CA,,SNELL,AV,,95136-1338,17030.000000000000000
215190,LP,72627088,1.000000000000000,442871.000000000000000,659.305496091595842,112.604272729958367,MORGAN HILL,535,,CA,,CALLE VIENTO,,,95037,4101.000000000000000
215274,LP,14828009,1.000000000000000,291507.000000000000000,12868.019321809295434,472.227072757687552,MOUNTAIN VIEW,2465,,CA,,LATHAM,ST,,94040-1419,5009.000000000000000
215277,AP,15846094,1.000000000000000,469443.000000000000000,103.881533265508466,51.781773501530516,MOUNTAIN VIEW,505,,CA,,CYPRESS POINT,DR,94,94043-4831,5010.000000000000000
215279,AP,43446105,1.000000000000000,484834.000000000000000,204.708103485436368,58.351248700479090,SAN JOSE,1375,,CA,,LICK,AV,1027,95110,17193.000000000000000
215286,AP,49703028,1.000000000000000,487618.000000000000000,571.772461222280640,104.490586791551479,SAN JOSE,3819,,CA,,SEVEN TREES,BL,304,95111-3371,17038.000000000000000
215289,LP,12431083,1.000000000000000,47875.000000000000000,2139.646281754914526,192.122062553063216,PALO ALTO,343,,CA,,OXFORD,AV,,94306-1135,6001.000000000000000
215311,LP,15842076,1.000000000000000,409792.000000000000000,327.512748924747370,98.866464375336378,MOUNTAIN VIEW,642,,CA,,WILLOWGATE,ST,,94043,5000.000000000000000
215340,LP,21665040,1.000000000000000,433289.000000000000000,106.273484277709244,45.476900965524933,SANTA CLARA,3016,,CA,,LAMORY,PL,,95051,7079.000000000000000
215383,LP,,0.000000000000000,457646.000000000000000,263.320100214014758,63.967797144730426,,,,,,,,,,0.000000000000000
215391,LP,84113003,1.000000000000000,243542.000000000000000,555.020358248049206,126.552991452258127,GILROY,7300,,CA,,MONTEREY,ST,,95020,2000.000000000000000
215447,AP,43437038,1.000000000000000,484783.000000000000000,137.968465239373728,58.091981913760392,SAN JOSE,426,,CA,,SHADOWGRAPH,DR,,95110-3564,17193.000000000000000
215459,LP,26135027,1.000000000000000,378107.000000000000000,27338.927851468488370,994.136377888399579,SAN JOSE,145,,CA,S,MONTGOMERY,ST,,95110-2506,17213.000000000000000
215532,LP,43423044,1.000000000000000,309490.000000000000000,1456.480075558315093,188.295764169271536,SAN JOSE,1436,,CA,,POMONA,AV,,95110-3506,17193.000000000000000
215575,LP,43427050,1.000000000000000,3138.000000000000000,1085.824467180278816,144.911912359065497,SAN JOSE,1686,,CA,,MACKEY,AV,,95125-1248,17108.000000000000000
215656,LP,21664018,1.000000000000000,457311.000000000000000,134.505374617129576,52.721545882691565,SANTA CLARA,3380,,CA,,EICHERS,PL,107,95051,7079.000000000000000
215682,AP,14819050,1.000000000000000,462322.000000000000000,132.755284669006414,46.859897676452945,MOUNTAIN VIEW,2255,,CA,,SHOWERS,DR,161,94040,5009.000000000000000
215706,LP,26133014,1.000000000000000,148495.000000000000000,873.712132703418547,128.169290175537697,SAN JOSE,34,,CA,,SUNOL,ST,,95126-3147,17108.000000000000000
215721,LP,26426001,2.000000000000000,317290.000000000000000,997.380949602441433,128.160491112663436,SAN JOSE,301,,CA,,DELMAS,AV,,95126-3626,17193.000000000000000
215770,LP,14732053,1.000000000000000,140386.000000000000000,1201.984064016154207,138.350225349502352,PALO ALTO,4289,,CA,,BRIARWOOD,WY,,94306-4612,6012.000000000000000
215820,AP,12068022,1.000000000000000,479603.000000000000000,135.684961092623070,55.794604866903668,PALO ALTO,425,,CA,,ALMA,ST,209,94301-1645,6001.000000000000000
215841,LP,21665003,1.000000000000000,429593.000000000000000,98.406886534881821,41.435264797149031,SANTA CLARA,3040,,CA,,BOYTER,PL,104,95051,7079.000000000000000
215870,LP,72625001,1.000000000000000,320618.000000000000000,2140.754850727924349,186.136535260998784,MORGAN HILL,17910,,CA,,MONTEREY,RD,,95037-3660,4001.000000000000000
215881,LP,12014017,2.000000000000000,165717.000000000000000,890.956106830306453,127.706807613397899,PALO ALTO,201,,CA,,KIPLING,ST,,94301-1216,6001.000000000000000
215892,LP,,0.000000000000000,457846.000000000000000,509.251434537154296,258.375315772650595,,,,,,,,,,0.000000000000000
215917,LP,15843015,1.000000000000000,260956.000000000000000,126.303744854852056,52.784332607953907,MOUNTAIN VIEW,225,,CA,,HORIZON,AV,,94043-4718,5010.000000000000000
215961,LP,69003008,1.000000000000000,12857.000000000000000,800.918899944990471,120.520478787126876,SAN JOSE,5366,,CA,,LANDAU,CT,,95123-2126,17063.000000000000000
215967,AP,12035001,1.000000000000000,479848.000000000000000,211.367460503084601,65.471256960590821,PALO ALTO,386,,CA,,EVERETT,AV,,94301-1424,6001.000000000000000
215968,AP,43446082,1.000000000000000,484708.000000000000000,304.228726446774260,69.770246260147871,SAN JOSE,1375,,CA,,LICK,AV,826,95110,17193.000000000000000
